Z     age    Bmag   Vmag  
0.015 7.100   8.494  7.220
0.015 7.100   8.728  7.420
0.015 7.100   8.623  7.332
0.015 7.100   6.021  5.131
0.015 7.100   5.761  4.913
0.015 7.100   3.219  2.885
0.015 7.100   3.207  2.874
0.015 7.100  -2.516 -2.283
0.015 7.100  -0.019  0.118
0.015 7.100   4.538  3.881
0.015 7.100   8.339  7.082
0.015 7.100   8.020  6.802
0.015 7.100   1.987  1.937
0.015 7.100   7.841  6.648
0.015 7.100   6.046  5.152
0.015 7.100   8.642  7.347
0.015 7.100   4.631  3.958
0.015 7.100   7.938  6.732
0.015 7.100   8.498  7.223
0.015 7.100   1.949  1.906
0.015 7.100   8.197  6.957
0.015 7.100   6.621  5.631
0.015 7.100  -4.493 -4.253
0.015 7.100   4.745  4.055
0.015 7.100   8.449  7.180
0.015 7.100   4.883  4.172
0.015 7.100   8.933  7.598
0.015 7.100   2.220  2.115
0.015 7.100   1.389  1.430
0.015 7.100   6.646  5.651
0.015 7.100   1.792  1.776
0.015 7.100   0.763  0.857
0.015 7.100   0.844  0.933
0.015 7.100   3.135  2.785
0.015 7.100   2.038  1.979
0.015 7.100  -2.839 -2.599
0.015 7.100   2.129  2.049
0.015 7.100  -1.115 -0.926
0.015 7.100   0.077  0.209
0.015 7.100   0.002  0.138
0.015 7.100   7.177  6.091
0.015 7.100   3.145  2.798
0.015 7.100   1.454  1.487
0.015 7.100   1.535  1.557
0.015 7.100   0.945  1.027
0.015 7.100  -1.344 -1.146
0.015 7.100   6.065  5.168
0.015 7.100   7.180  6.092
0.015 7.100   8.030  6.811
0.015 7.100   5.660  4.827
0.015 7.100   7.338  6.224
0.015 7.100   8.748  7.437
0.015 7.100   0.526  0.634
0.015 7.100   4.751  4.060
0.015 7.100  -1.817 -1.603
0.015 7.100   8.389  7.126
0.015 7.100   8.203  6.961
0.015 7.100   8.498  7.224
0.015 7.100   3.149  2.763
0.015 7.100   8.488  7.215
0.015 7.100   8.326  7.071
0.015 7.100   7.448  6.316
0.015 7.100   8.534  7.256
0.015 7.100   8.599  7.311
0.015 7.100   4.039  3.462
0.015 7.100   7.474  6.337
0.015 7.100   7.819  6.629
0.015 7.100  -3.225 -2.960
0.015 7.100   8.442  7.174
0.015 7.100   6.942  5.897
0.015 7.100  -0.322 -0.170
0.015 7.100   7.573  6.420
0.015 7.100   0.044  0.178
0.015 7.100   7.908  6.706
0.015 7.100   3.122  2.768
0.015 7.100   7.233  6.136
0.015 7.100   9.108  7.757
0.015 7.100   7.679  6.510
0.015 7.100  -0.018  0.119
0.015 7.100   8.642  7.347
0.015 7.100   7.927  6.722
0.015 7.100   7.628  6.467
0.015 7.100   6.848  5.819
0.015 7.100  -0.137  0.006
0.015 7.100   8.322  7.067
0.015 7.100   8.194  6.954
0.015 7.100   2.686  2.449
0.015 7.100   0.343  0.461
0.015 7.100   8.266  7.017
0.015 7.100   1.277  1.329
0.015 7.100   3.199  2.868
0.015 7.100  -3.985 -3.719
0.015 7.100   8.478  7.206
0.015 7.100   0.106  0.236
0.015 7.100   7.699  6.527
0.015 7.100   5.885  5.017
0.015 7.100   9.202  7.845
0.015 7.100   8.399  7.136
0.015 7.100   6.950  5.902
0.015 7.100   8.328  7.072
0.015 7.100   6.306  5.369
0.015 7.100  -0.260 -0.111
0.015 7.100   8.507  7.232
0.015 7.100   7.650  6.485
0.015 7.100   5.816  4.959
0.015 7.100   7.311  6.202
0.015 7.100   2.888  2.610
0.015 7.100   3.292  2.866
0.015 7.100  -0.715 -0.544
0.015 7.100   8.777  7.463
0.015 7.100   7.819  6.629
0.015 7.100   3.164  2.818
0.015 7.100   5.792  4.939
0.015 7.100   6.342  5.400
0.015 7.100   1.239  1.295
0.015 7.100   7.805  6.617
0.015 7.100   7.193  6.104
0.015 7.100   8.042  6.821
0.015 7.100   3.286  2.939
0.015 7.100   8.418  7.153
0.015 7.100   8.465  7.194
0.015 7.100   4.115  3.525
0.015 7.100   1.665  1.668
0.015 7.100   1.566  1.583
0.015 7.100   6.617  5.627
0.015 7.100   6.095  5.193
0.015 7.100   3.515  3.035
0.015 7.100   2.031  1.973
0.015 7.100  -0.614 -0.448
0.015 7.100   8.164  6.928
0.015 7.100   8.032  6.812
0.015 7.100   2.491  2.300
0.015 7.100   6.870  5.837
0.015 7.100   3.174  2.778
0.015 7.100   0.487  0.597
0.015 7.100   0.059  0.193
0.015 7.100   0.804  0.895
0.015 7.100  -0.816 -0.640
0.015 7.100   1.089  1.159
0.015 7.100   7.800  6.613
0.015 7.100   1.401  1.440
0.015 7.100   3.122  2.768
0.015 7.100   1.935  1.894
0.015 7.100   0.314  0.434
0.015 7.100   7.816  6.626
0.015 7.100   6.776  5.760
0.015 7.100   7.077  6.008
0.015 7.100   1.309  1.358
0.015 7.100   1.436  1.470
0.015 7.100   2.075  2.009
0.015 7.100   2.632  2.407
0.015 7.100   0.499  0.608
0.015 7.100   1.346  1.391
0.015 7.100  -3.233 -2.969
0.015 7.100   7.667  6.500
0.015 7.100   3.111  2.754
0.015 7.100   6.249  5.322
0.015 7.100   8.511  7.235
0.015 7.100   0.180  0.307
0.015 7.100   6.855  5.824
0.015 7.100   7.473  6.337
0.015 7.100  -1.893 -1.676
0.015 7.100   5.298  4.522
0.015 7.100   2.427  2.254
0.015 7.100   3.117  2.761
0.015 7.100   0.847  0.936
0.015 7.100   8.614  7.324
0.015 7.100   4.146  3.551
0.015 7.100   6.695  5.692
0.015 7.100   8.108  6.878
0.015 7.100   3.062  2.752
0.015 7.100   8.735  7.426
0.015 7.100   8.517  7.241
0.015 7.100   5.103  4.358
0.015 7.100   8.263  7.015
0.015 7.100   2.977  2.683
0.015 7.100   3.149  2.763
0.015 7.100   1.658  1.662
0.015 7.100   1.586  1.601
0.015 7.100   3.202  2.799
0.015 7.100   1.230  1.288
0.015 7.100   5.706  4.866
0.015 7.100   8.828  7.507
0.015 7.100   2.044  1.984
0.015 7.100  -0.175 -0.030
0.015 7.100  -3.281 -3.015
0.015 7.100   7.318  6.207
0.015 7.100   6.800  5.779
0.015 7.100   7.676  6.508
0.015 7.100   5.400  4.608
0.015 7.100   1.808  1.789
0.015 7.100   8.965  7.627
0.015 7.100   0.597  0.701
0.015 7.100   1.674  1.675
0.015 7.100   6.782  5.764
0.015 7.100   8.195  6.955
0.015 7.100   7.720  6.545
0.015 7.100   8.825  7.504
0.015 7.100   8.511  7.235
0.015 7.100   8.658  7.361
0.015 7.100   7.566  6.414
0.015 7.100   9.136  7.782
0.015 7.100   3.263  2.844
0.015 7.100   6.739  5.728
0.015 7.100   2.092  2.021
0.015 7.100   0.511  0.620
0.015 7.100   8.827  7.506
0.015 7.100   3.865  3.318
0.015 7.100   6.706  5.701
0.015 7.100   7.684  6.514
0.015 7.100   4.660  3.984
0.015 7.100   7.907  6.705
0.015 7.100   1.406  1.444
0.015 7.100   7.828  6.637
0.015 7.100   0.049  0.183
0.015 7.100   4.895  4.182
0.015 7.100   7.293  6.186
0.015 7.100   5.949  5.071
0.015 7.100  -0.624 -0.457
0.015 7.100   8.370  7.109
0.015 7.100   6.337  5.395
0.015 7.100  -2.428 -2.197
0.015 7.100   1.469  1.500
0.015 7.100   6.138  5.229
0.015 7.100   6.944  5.898
0.015 7.100  -1.930 -1.711
0.015 7.100   3.632  3.129
0.015 7.100   0.635  0.737
0.015 7.100   7.785  6.601
